STORE_ID,STORE_COUNTRY,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_ID,MRP,CP,DISCOUNT,SP,TRANSACTION_DATE
BR9799,EUR,Berlin,Groceries,65538635,31,EUR 11.98,EUR 2.20,EUR 19.80,05/28/2020
BR9799,EUR,Berlin,Electronics,34419860,15,EUR 7.90,EUR 1.70,EUR 15.30,05/28/2020
BR9799,EUR,Berlin,Furniture,89530029,88,EUR 4.69,EUR 0.48,EUR 11.52,05/28/2020
BR9799,EUR,Berlin,Kitchen,60147094,91,EUR 9.94,EUR 1.12,EUR 12.88,05/28/2020
BR9799,EUR,Berlin,Furniture,14141845,85,EUR 18.03,EUR 2.79,EUR 28.21,05/28/2020
BR9799,EUR,Berlin,Fashion,64494934,37,EUR 32.00,EUR 4.48,EUR 51.52,05/28/2020
BR9799,EUR,Berlin,Furniture,11744079,80,EUR 40.10,EUR 4.41,EUR 58.59,05/28/2020
BR9799,EUR,Berlin,Kitchen,92378234,71,EUR 34.72,EUR 1.02,EUR 49.98,05/28/2020
BR9799,EUR,Berlin,Kitchen,49570007,92,EUR 16.79,EUR 2.50,EUR 22.50,05/28/2020
BR9799,EUR,Berlin,Electronics,84001159,16,EUR 42.89,EUR 6.66,EUR 67.34,05/28/2020
BR9799,EUR,Berlin,Fashion,50657653,38,EUR 20.31,EUR 0.96,EUR 31.04,05/28/2020
BR9799,EUR,Berlin,Electronics,95891113,26,EUR 62.79,EUR 5.46,EUR 85.54,05/28/2020
BR9799,EUR,Berlin,Kitchen,90944519,45,EUR 43.79,EUR 4.02,EUR 62.98,05/28/2020
BR9799,EUR,Berlin,Education,30882263,83,EUR 54.51,EUR 5.53,EUR 73.47,05/28/2020
BR9799,EUR,Berlin,Cosmetics,21368103,55,EUR 8.17,EUR 1.20,EUR 10.80,05/28/2020
BR9799,EUR,Berlin,Kitchen,83369445,13,EUR 24.29,EUR 3.52,EUR 40.48,05/28/2020
BR9799,EUR,Berlin,Fashion,87203674,69,EUR 47.03,EUR 6.39,EUR 64.61,05/28/2020
BR9799,EUR,Berlin,Kitchen,57708129,18,EUR 38.08,EUR 2.90,EUR 55.10,05/28/2020
BR9799,EUR,Berlin,Fashion,33549194,52,EUR 7.59,EUR 0.99,EUR 10.01,05/28/2020
BR9799,EUR,Berlin,Education,97319335,29,EUR 25.76,EUR 2.00,EUR 38.00,05/28/2020
BR9799,EUR,Berlin,Groceries,21093444,43,EUR 47.24,EUR 2.37,EUR 76.63,05/28/2020
BR9799,EUR,Berlin,Education,86267089,71,EUR 59.54,EUR 4.75,EUR 90.25,05/28/2020
